bhk,propertytype,location,sqft,pricepersqft,totalprice
2,Flat,Bhilai,850,1546,1610000
2,Flat,Bhilai,850,2667,2800000
3,Flat,Bhilai,840,3750,2200000
2,Flat,Bhilai,1035,2227,1600000
2,Flat,Bhilai,450,3750,1200000
3,Flat,Bhilai,900,2550,2600000
3,Flat,Bhilai,1302,2734,2900000
3,Flat,Bhilai,1340,2490,2500000
3,Flat,Bhilai,1250,2400,2700000
2,Flat,Bhilai,1025,2706,2300000
3,Flat,Bhilai,1646,13381,4500000
2,Flat,Bhilai,800,8818,2490000
2,Flat,Bhilai,800,2800,1600000
2,Flat,Bhilai,1000,1933,2400000
2,Flat,Bhilai,850,1953,2300000
3,Flat,Bhilai,900,2000,2800000
2,Flat,Bhilai,750,1667,1450000
3,Flat,Bhilai,1950,1536,4200000
2,Flat,Bhilai,888,2500,2700000
2,Flat,Bhilai,1000,3438,2000000
2,Flat,Bhilai,850,3235,1000000
3,Flat,Bhilai,1210,2370,2000000
3,Flat,Bhilai,1302,3155,2000000
2,Flat,Bhilai,880,2000,1889999
2,Flat,Bhilai,813,2273,3200000
3,Flat,Bhilai,1648,2500,5200000
3,Flat,Bhilai,1200,5285,2500000
3,Flat,Bhilai,2200,2154,5000000
2,Flat,Bhilai,1146,1834,1900000
3,Flat,Bhilai,1146,2244,5500000
3,Flat,Bhopal,1650,2782,4590000
3,Flat,Bhopal,1726,4519,7800000
3,Flat,Bhopal,1638,3657,5990000
2,Flat,Bhopal,650,3567,2800000
2,Flat,Bhopal,894,3300,2950000
2,Flat,Bhopal,754,3750,2500000
3,Flat,Bhopal,1100,2768,5550000
2,Flat,Bhopal,1021,4872,2600000
2,Flat,Bhopal,1105,3963,2650000
3,Flat,Bhopal,1240,2580,6500000
2,Flat,Bhopal,667,3333,2430000
3,Flat,Bhopal,1176,2357,3500000
3,Flat,Bhopal,1782,1875,4200000
2,Flat,Bhopal,785,3791,2350000
3,Flat,Bhopal,1119,8583,5000000
3,Flat,Bhopal,1050,5506,6000000
3,Flat,Bhopal,1700,2397,5500000
3,Flat,Bhopal,1460,2667,3500000
2,Flat,Bhopal,1150,7450,4000000
3,Flat,Bhopal,920,7179,4500000
2,Flat,Bhopal,750,3889,2800000
3,Flat,Bhopal,960,2015,3000000
3,Flat,Bhopal,1450,2500,3990000
3,Flat,Bhopal,1200,2870,3500000
2,Flat,Bhopal,650,3551,1600000
2,Flat,Bhopal,750,2080,3200000
3,Flat,Bhopal,1380,6637,4900000
3,Flat,Bhopal,1074,2809,2600000
3,Flat,Bhopal,1005,10909,9000000
3,Flat,Bhopal,1246,3895,3500000
3,Flat,Bhopal,1669,8000,6500000
2,Flat,Bhopal,1000,3037,8000000
3,Flat,Bhopal,950,11364,4100000
3,Flat,Bhopal,1920,3514,9500000
2,Flat,Bhopal,800,3030,2000000
2,Flat,Bhopal,740,2849,2600000
3,Flat,Bhopal,1000,3690,4000000
3,Flat,Bhopal,1260,3478,3590000
3,Flat,Bhopal,2157,3896,17000000
3,Flat,Bhopal,1250,4403,6200000
3,Flat,Bhopal,950,3111,4800000
2,Flat,Bhopal,700,3333,3000000
2,Flat,Bhopal,880,2371,2800000
3,Flat,Bhopal,1500,7463,5000000
3,Flat,Bhopal,910,2937,2700000
2,Flat,Bhopal,600,4770,2500000
2,Flat,Bhopal,784,2746,2850000
2,Flat,Bhopal,715,2154,2100000
3,Flat,Bhopal,940,3538,3300000
2,Flat,Bhopal,650,10119,2300000
3,Flat,Bhopal,829,3923,2800000
2,Flat,Bhopal,1150,2769,3500000
2,Flat,Bhopal,480,2364,1700000
3,Flat,Bhopal,1340,6818,4300000
2,Flat,Bhopal,500,4194,1030000
3,Flat,Bhopal,750,3636,5100000
3,Flat,Bhopal,1300,3128,3600000
